question_id,group_question_id,question_text,correct_answer,ans_1,ans_2,ans_3,ans_4
test8_1,test8_part1_1,Look at the picture marked number 1 in your test book,4,(A) A,(B) B,(C) C,(D) D
test8_2,test8_part1_2,Look at the picture marked number 2 in your test book,4,(A) A,(B) B,(C) C,(D) D
test8_3,test8_part1_3,Look at the picture marked number 3 in your test book,2,(A) A,(B) B,(C) C,(D) D
test8_4,test8_part1_4,Look at the picture marked number 4 in your test book,1,(A) A,(B) B,(C) C,(D) D
test8_5,test8_part1_5,Look at the picture marked number 5 in your test book,3,(A) A,(B) B,(C) C,(D) D
test8_6,test8_part1_6,Look at the picture marked number 6 in your test book,1,(A) A,(B) B,(C) C,(D) D
test8_7,test8_part2_1,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test8_8,test8_part2_2,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test8_9,test8_part2_3,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test8_10,test8_part2_4,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test8_11,test8_part2_5,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test8_12,test8_part2_6,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test8_13,test8_part2_7,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test8_14,test8_part2_8,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test8_15,test8_part2_9,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test8_16,test8_part2_10,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test8_17,test8_part2_11,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test8_18,test8_part2_12,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test8_19,test8_part2_13,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test8_20,test8_part2_14,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test8_21,test8_part2_15,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test8_22,test8_part2_16,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test8_23,test8_part2_17,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test8_24,test8_part2_18,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test8_25,test8_part2_19,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test8_26,test8_part2_20,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test8_27,test8_part2_21,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test8_28,test8_part2_22,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test8_29,test8_part2_23,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test8_30,test8_part2_24,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test8_31,test8_part2_25,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test8_32,test8_part3_1,Why is the woman calling?,3,(A) To extend a rental period,(B) To confirm an appointment,(C) To offer a part-time job,(D) To accept a proposal
test8_33,test8_part3_1,What does the man ask the woman to do?,2,(A) Interpret for her supervisor,(B) Send an advance payment,(C) Submit an official request,(D) Provide a work space
test8_34,test8_part3_1,What will the woman inform the man about?,2,(A) A requirement,(B) A deadline,(C) A meeting time,(D) A company policy
test8_35,test8_part3_2,Where does the man work?,4,(A)At a community center,(B)At a museum,(C)At a university,(D)At a library
test8_36,test8_part3_2,What does the woman want to do?,1,(A)Research modern poets,(B)Purchase a ticket,(C)Conduct some experiments,(D)Sign up for evening classes
test8_37,test8_part3_2,What does the man offer to do?,1,(A)Give a private tour,(B)Provide a discount,(C)Send her some materials,(D)Contact a tour guide
test8_38,test8_part3_3,Where is the conversation taking place?,2,(A)At a park,(B)At a fitness facility,(C)At an institute,(D)At a medical center
test8_39,test8_part3_3,What is the man preparing for?,3,(A)A football tryout,(B)A basketball tournament,(C)An upcoming marathon,(D)A tennis competition
test8_40,test8_part3_3,What does the woman offer the man?,1,(A)A class schedule,(B)A private session,(C)A free membership,(D)Some used equipment
test8_41,test8_part3_4,What problem is the man calling about?,4,(A)A customer account has been canceled.,(B)An appliance has not arrived.,(C)A machine is missing some parts.,(D)A device is out of order.
test8_42,test8_part3_4,What does the woman say she will do?,2,(A)Contact the manufacturer,(B)Send a professional,(C)Replace the faulty item,(D)Look online for a solution
test8_43,test8_part3_4,What does the woman recommend doing?,2,(A)Using different model,(B)Removing items from a machine,(C)Contacting a manufacturer’s helpline,(D)Attempting a home repair
test8_44,test8_part3_5,Where will the woman make a transfer?,3,(A)Coventry,(B)Leicester,(C)Birmingham,(D)Sheffield
test8_45,test8_part3_5,What most likely is the man’s job?,1,(A)Train attendant,(B)Bus driver,(C)Cafe worker,(D)Tour guide
test8_46,test8_part3_5,What does the man offer to do?,4,(A)Guide the woman to her seat,(B)Announce the stop before arrival,(C)Show the woman station signs,(D)Give the woman a map
test8_47,test8_part3_6,Who most likely is the woman?,4,(A)A business consultant,(B)A department manager,(C)A senior engineer,(D)A product developer
test8_48,test8_part3_6,What problem does the woman mention?,1,(A)The machine isn’t working properly.,(B)A piece has broken off.,(C)She requires new batteries.,(D)She wasn’t given enough time.
test8_49,test8_part3_6,What does the man suggest doing?,2,(A)Starting the project over from the beginning,(B)Consulting with more knowledgeable staff,(C)Begin working on another project,(D)Getting feedback from customers
test8_50,test8_part3_7,Where does the woman most likely work?,3,(A)At a shipping company,(B)At a warehouse,(C)At a contracting company,(D)At a consulting firm
test8_51,test8_part3_7,What is the purpose of the woman’s call?,4,(A)To change the size of an item,(B)To inquire about delivery options,(C)To check the status of an order,(D)To request pricing information
test8_52,test8_part3_7,What does the man tell the woman about?,2,(A)A customization charge,(B)An alternative delivery option,(C)A similar product,(D)Another supplier
test8_53,test8_part3_8,What did the woman do before work?,4,(A)Went to the gym,(B)Interviewed a CEO,(C)Visited a client,(D)Purchased a newspaper
test8_54,test8_part3_8,What does the man say he is thinking about doing?,1,(A)Subscribing to a publication,(B)Filing a complaint,(C)Ordering an item online,(D)Paying the woman a bonus
test8_55,test8_part3_8,Why does the man ask the woman to come back later?,3,(A)To sign some paperwork,(B)To report on a meeting,(C)To pick up a document,(D)To read a review
test8_56,test8_part3_9,Why does the woman indicate she is pleased?,4,(A)She came in first in a prize draw.,(B)She developed a sales pitch.,(C)She recently won a new client.,(D)She reached a maximum bonus.
test8_57,test8_part3_9,What will be the topic of the woman’s presentations?,2,(A)Creating memorable advertisements,(B)Analyzing customer needs,(C)Gathering feedback online,(D)Developing new products
test8_58,test8_part3_9,When will the introductory lecture be given?,2,(A)On September 1,(B)On September 2,(C)On September 6,(D)On September 10
test8_59,test8_part3_10,Where is the conversation taking place?,2,(A)At a furniture store,(B)At an electronics store,(C)At a coffee shop,(D)At a utility company
test8_60,test8_part3_10,"What does the woman imply when she says, “What’s the number”?",3,(A)An access code isn’t working.,(B)The receipt can be looked up.,(C)She wants to know the machine type.,(D)An account should be opened.
test8_61,test8_part3_10,What can be inferred about the business?,2,(A)It doesn’t carry outdated stock.,(B)It has more than one branch.,(C)It sells its goods online.,(D)It extended its hours of operation.
test8_62,test8_part3_11,What is the conversation mainly about?,3,(A)An advertising idea,(B)A staff training program,(C)A budget for an event,(D)A room rental
test8_63,test8_part3_11,"Why does the man say, “That’s not necessary”?",2,(A)He thinks the women work too hard.,(B)He wants to avoid overspending.,(C)He doesn’t need any help.,(D)He believes a problem is avoidable.
test8_64,test8_part3_11,What do the women imply about Archwood Co.?,3,(A)It spends a lot of money on advertising.,(B)It is known for its high-quality goods.,(C)It has a product similar to theirs.,(D)It will merge with their company.
test8_65,test8_part3_12,What did Harriet see last week?,1,(A) Technicians in the building next door,(B) Technicians posting about lift repairs,(C) Some technicians installing lighting,(D) Her boss having a meeting with some technicians
test8_66,test8_part3_12,Look at the graphic. Which is the busiest wing in the hospital?,3,(A) West,(B) East,(C) North,(D) South
test8_67,test8_part3_12,What does the man suggest the woman do?,2,(A) Cancel the repairs immediately,(B) Talk to Dr. Franklin,(C) Ask Dr. Franklin to lunch,(D) Close the north wing
test8_68,test8_part3_13,What type of event does the man want to attend?,3,(A)A band concert,(B)A comedy show,(C)A dance performance,(D)A stage play
test8_69,test8_part3_13,What does the man inquire about?,4,(A)The venue’s location,(B)The discount for groups,(C)The fees for booking,(D)The show’s duration
test8_70,test8_part3_13,Look at the graphic. How much will the man pay per ticket?,4,(A)$30,(B)$35,(C)$40,(D)$45
test8_71,test8_part4_1,What is the announcement about?,2,(A) An opinion survey,(B) An upcoming election,(C) An election outcome,(D) A website update
