question_id,group_question_id,question_text,correct_answer,ans_1,ans_2,ans_3,ans_4
test13_1,test13_part1_1,Look at the picture marked number 3 in your test book,1,(A) A,(B) B,(C) C,(D) D
test13_2,test13_part1_2,Look at the picture marked number 4 in your test book,3,(A) A,(B) B,(C) C,(D) D
test13_3,test13_part1_3,Look at the picture marked number 5 in your test book,1,(A) A,(B) B,(C) C,(D) D
test13_4,test13_part2_1,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test13_5,test13_part2_2,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test13_6,test13_part2_3,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test13_7,test13_part2_4,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test13_8,test13_part2_5,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test13_9,test13_part2_6,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test13_10,test13_part2_7,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test13_11,test13_part2_8,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test13_12,test13_part2_9,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test13_13,test13_part2_10,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test13_14,test13_part2_11,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test13_15,test13_part2_12,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test13_16,test13_part2_13,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test13_17,test13_part3_1,Where most likely does the man work?,4,(A) At a real estate agency,(B) At a bank,(C) At an art gallery,(D) At a landscaping agency
test13_18,test13_part3_1,How long does the man say the woman will have to wait?,3,(A) For a day,(B) For a week,(C) For a month,(D) For two months
test13_19,test13_part3_1,What information will the man send the woman?,3,(A) A job opening,(B) An itinerary,(C) A price quote,(D) A meeting agenda
test13_20,test13_part3_2,What does the woman ask the man about?,2,(A) How to write a report,(B) Whether a document is finished,(C) How to reserve a meeting room,(D) Whether a client has been contacted
test13_21,test13_part3_2,What does the man say he will do?,1,(A) Prioritize the womanâ€™s request,(B) Extend a deadline,(C) Draft a budget,(D) Visit the womanâ€™s office
test13_22,test13_part3_2,What does the woman need?,3,(A) A list of clients,(B) A sample product,(C) Meeting materials,(D) A revised itinerary
